date,year,month,month_name,quarter,quarter_label,year_month,day_of_week,is_weekend,week_number
2017-05-18,2017,5,May,2,Q2,2017-05,Thursday,0,20
2017-05-19,2017,5,May,2,Q2,2017-05,Friday,0,20
2017-05-20,2017,5,May,2,Q2,2017-05,Saturday,1,20
2017-05-21,2017,5,May,2,Q2,2017-05,Sunday,1,20
2017-05-22,2017,5,May,2,Q2,2017-05,Monday,0,21
2017-05-23,2017,5,May,2,Q2,2017-05,Tuesday,0,21
2017-05-24,2017,5,May,2,Q2,2017-05,Wednesday,0,21
2017-05-25,2017,5,May,2,Q2,2017-05,Thursday,0,21
2017-05-26,2017,5,May,2,Q2,2017-05,Friday,0,21
2017-05-27,2017,5,May,2,Q2,2017-05,Saturday,1,21
2017-05-28,2017,5,May,2,Q2,2017-05,Sunday,1,21
2017-05-29,2017,5,May,2,Q2,2017-05,Monday,0,22
2017-05-30,2017,5,May,2,Q2,2017-05,Tuesday,0,22
2017-05-31,2017,5,May,2,Q2,2017-05,Wednesday,0,22
2017-06-01,2017,6,June,2,Q2,2017-06,Thursday,0,22
2017-06-02,2017,6,June,2,Q2,2017-06,Friday,0,22
2017-06-03,2017,6,June,2,Q2,2017-06,Saturday,1,22
2017-06-04,2017,6,June,2,Q2,2017-06,Sunday,1,22
2017-06-05,2017,6,June,2,Q2,2017-06,Monday,0,23
2017-06-06,2017,6,June,2,Q2,2017-06,Tuesday,0,23
2017-06-07,2017,6,June,2,Q2,2017-06,Wednesday,0,23
2017-06-08,2017,6,June,2,Q2,2017-06,Thursday,0,23
2017-06-09,2017,6,June,2,Q2,2017-06,Friday,0,23
2017-06-10,2017,6,June,2,Q2,2017-06,Saturday,1,23
2017-06-11,2017,6,June,2,Q2,2017-06,Sunday,1,23
2017-06-12,2017,6,June,2,Q2,2017-06,Monday,0,24
2017-06-13,2017,6,June,2,Q2,2017-06,Tuesday,0,24
2017-06-14,2017,6,June,2,Q2,2017-06,Wednesday,0,24
2017-06-15,2017,6,June,2,Q2,2017-06,Thursday,0,24
2017-06-16,2017,6,June,2,Q2,2017-06,Friday,0,24
2017-06-17,2017,6,June,2,Q2,2017-06,Saturday,1,24
2017-06-18,2017,6,June,2,Q2,2017-06,Sunday,1,24
2017-06-19,2017,6,June,2,Q2,2017-06,Monday,0,25
2017-06-20,2017,6,June,2,Q2,2017-06,Tuesday,0,25
2017-06-21,2017,6,June,2,Q2,2017-06,Wednesday,0,25
2017-06-22,2017,6,June,2,Q2,2017-06,Thursday,0,25
2017-06-23,2017,6,June,2,Q2,2017-06,Friday,0,25
2017-06-24,2017,6,June,2,Q2,2017-06,Saturday,1,25
2017-06-25,2017,6,June,2,Q2,2017-06,Sunday,1,25
2017-06-26,2017,6,June,2,Q2,2017-06,Monday,0,26
2017-06-27,2017,6,June,2,Q2,2017-06,Tuesday,0,26
2017-06-28,2017,6,June,2,Q2,2017-06,Wednesday,0,26
2017-06-29,2017,6,June,2,Q2,2017-06,Thursday,0,26
2017-06-30,2017,6,June,2,Q2,2017-06,Friday,0,26
2017-07-01,2017,7,July,3,Q3,2017-07,Saturday,1,26
2017-07-02,2017,7,July,3,Q3,2017-07,Sunday,1,26
2017-07-03,2017,7,July,3,Q3,2017-07,Monday,0,27
2017-07-04,2017,7,July,3,Q3,2017-07,Tuesday,0,27
2017-07-05,2017,7,July,3,Q3,2017-07,Wednesday,0,27
2017-07-06,2017,7,July,3,Q3,2017-07,Thursday,0,27
2017-07-07,2017,7,July,3,Q3,2017-07,Friday,0,27
2017-07-08,2017,7,July,3,Q3,2017-07,Saturday,1,27
2017-07-09,2017,7,July,3,Q3,2017-07,Sunday,1,27
2017-07-10,2017,7,July,3,Q3,2017-07,Monday,0,28
2017-07-11,2017,7,July,3,Q3,2017-07,Tuesday,0,28
2017-07-12,2017,7,July,3,Q3,2017-07,Wednesday,0,28
2017-07-13,2017,7,July,3,Q3,2017-07,Thursday,0,28
2017-07-14,2017,7,July,3,Q3,2017-07,Friday,0,28
2017-07-15,2017,7,July,3,Q3,2017-07,Saturday,1,28
2017-07-16,2017,7,July,3,Q3,2017-07,Sunday,1,28
2017-07-17,2017,7,July,3,Q3,2017-07,Monday,0,29
2017-07-18,2017,7,July,3,Q3,2017-07,Tuesday,0,29
2017-07-19,2017,7,July,3,Q3,2017-07,Wednesday,0,29
2017-07-20,2017,7,July,3,Q3,2017-07,Thursday,0,29
2017-07-21,2017,7,July,3,Q3,2017-07,Friday,0,29
2017-07-22,2017,7,July,3,Q3,2017-07,Saturday,1,29
2017-07-23,2017,7,July,3,Q3,2017-07,Sunday,1,29
2017-07-24,2017,7,July,3,Q3,2017-07,Monday,0,30
2017-07-25,2017,7,July,3,Q3,2017-07,Tuesday,0,30
2017-07-26,2017,7,July,3,Q3,2017-07,Wednesday,0,30
2017-07-27,2017,7,July,3,Q3,2017-07,Thursday,0,30
2017-07-28,2017,7,July,3,Q3,2017-07,Friday,0,30
2017-07-29,2017,7,July,3,Q3,2017-07,Saturday,1,30
2017-07-30,2017,7,July,3,Q3,2017-07,Sunday,1,30
2017-07-31,2017,7,July,3,Q3,2017-07,Monday,0,31
2017-08-01,2017,8,August,3,Q3,2017-08,Tuesday,0,31
2017-08-02,2017,8,August,3,Q3,2017-08,Wednesday,0,31
2017-08-03,2017,8,August,3,Q3,2017-08,Thursday,0,31
2017-08-04,2017,8,August,3,Q3,2017-08,Friday,0,31
2017-08-05,2017,8,August,3,Q3,2017-08,Saturday,1,31
2017-08-06,2017,8,August,3,Q3,2017-08,Sunday,1,31
2017-08-07,2017,8,August,3,Q3,2017-08,Monday,0,32
2017-08-08,2017,8,August,3,Q3,2017-08,Tuesday,0,32
2017-08-09,2017,8,August,3,Q3,2017-08,Wednesday,0,32
2017-08-10,2017,8,August,3,Q3,2017-08,Thursday,0,32
2017-08-11,2017,8,August,3,Q3,2017-08,Friday,0,32
2017-08-12,2017,8,August,3,Q3,2017-08,Saturday,1,32
2017-08-13,2017,8,August,3,Q3,2017-08,Sunday,1,32
2017-08-14,2017,8,August,3,Q3,2017-08,Monday,0,33
2017-08-15,2017,8,August,3,Q3,2017-08,Tuesday,0,33
2017-08-16,2017,8,August,3,Q3,2017-08,Wednesday,0,33
2017-08-17,2017,8,August,3,Q3,2017-08,Thursday,0,33
2017-08-18,2017,8,August,3,Q3,2017-08,Friday,0,33
2017-08-19,2017,8,August,3,Q3,2017-08,Saturday,1,33
2017-08-20,2017,8,August,3,Q3,2017-08,Sunday,1,33
2017-08-21,2017,8,August,3,Q3,2017-08,Monday,0,34
2017-08-22,2017,8,August,3,Q3,2017-08,Tuesday,0,34
2017-08-23,2017,8,August,3,Q3,2017-08,Wednesday,0,34
2017-08-24,2017,8,August,3,Q3,2017-08,Thursday,0,34
2017-08-25,2017,8,August,3,Q3,2017-08,Friday,0,34
2017-08-26,2017,8,August,3,Q3,2017-08,Saturday,1,34
2017-08-27,2017,8,August,3,Q3,2017-08,Sunday,1,34
2017-08-28,2017,8,August,3,Q3,2017-08,Monday,0,35
2017-08-29,2017,8,August,3,Q3,2017-08,Tuesday,0,35
2017-08-30,2017,8,August,3,Q3,2017-08,Wednesday,0,35
2017-08-31,2017,8,August,3,Q3,2017-08,Thursday,0,35
2017-09-01,2017,9,September,3,Q3,2017-09,Friday,0,35
2017-09-02,2017,9,September,3,Q3,2017-09,Saturday,1,35
2017-09-03,2017,9,September,3,Q3,2017-09,Sunday,1,35
2017-09-04,2017,9,September,3,Q3,2017-09,Monday,0,36
2017-09-05,2017,9,September,3,Q3,2017-09,Tuesday,0,36
